id;user_id;battery_id;time_start;time_end
1;34339;95656;2022-06-27T12:22:09;2022-06-27T04:56:52
2;97094;65896;2022-06-27T18:32:57;2022-06-27T07:54:00
3;37176;30752;2022-06-27T00:14:43;2022-06-27T11:35:54
4;28534;11169;2022-06-27T17:33:01;2022-06-27T01:11:32
5;24063;98280;2022-06-27T13:42:04;2022-06-27T14:54:52
6;4452;54690;2022-06-27T08:28:30;2022-06-27T15:40:55
7;76124;29000;2022-06-27T12:03:04;2022-06-27T15:05:20
8;67970;35233;2022-06-27T02:26:17;2022-06-26T20:26:30
9;76209;98154;2022-06-27T08:23:08;2022-06-27T03:41:59
10;97763;13682;2022-06-27T13:27:23;2022-06-27T15:51:56
