id;serial_no;hw_version;sw_version;manufacture_date;capacity;max_charge;max_discarge;max_vol;min_vol;used;soc;soh;temp;owner_id;renter_id;cycle_count
1;Metal Garden e-business;20206;4353;Mexico;29567;1778;64970;53288;44138;true;65033;98613;14552;89122;72837;62592
2;Mobility;73692;33222;world-class Specialist;50632;92906;38616;94680;14798;false;38729;54370;80123;29224;744;28022
3;Dinar SCSI;47611;22927;Peso;69855;98849;89931;44660;65086;true;75395;63790;64617;99699;66715;811
4;Program invoice;28717;42141;Hawaii;15981;51044;32533;85099;38036;true;1959;82152;77378;91857;49596;69876
5;Rapids connecting plum;65398;74634;Licensed;8371;2927;91783;42117;77288;true;88096;5626;17343;40173;73470;76713
6;Account Berkshire Taiwan;38258;91652;Ameliorated withdrawal;74012;98513;51291;19359;53843;false;58639;63298;4369;44116;75533;51044
7;Borders;71657;87216;testing;65226;30125;90491;47168;48067;true;17297;27961;76002;55664;47125;90967
8;Account;19741;49372;synthesizing;52479;59515;40174;14322;59914;false;97680;66301;99251;84858;7305;66880
9;bypass;86901;66666;global Singapore architecture;92340;69475;25672;59236;58026;true;31974;85948;75435;3650;50761;10980
10;Decentralized Investor;52132;34350;Customer Key;99638;50606;58413;39562;82104;true;23507;38011;86057;88759;78659;83537
