id;serial_number;vol;cur;soc;soh;state;status
1;AGP;95408;48153;5559;85041;22580;17692
2;Russian quantify;19673;64084;44381;53037;41262;14662
3;primary withdrawal;23672;14350;94108;60193;82087;12428
4;content-based COM Specialist;64369;45943;57020;10136;62925;33188
5;Oklahoma compressing Gateway;54496;11073;65318;19734;97954;50236
6;connect Concrete;57544;74473;5787;39392;32054;88638
7;RAM;6489;24538;67027;99003;38075;10343
8;Cambridgeshire Open-architected scalable;87365;80622;63988;56393;72816;98570
9;Georgia navigating supply-chains;41071;59237;45709;23018;38781;37493
10;sky Iceland withdrawal;23326;7295;50817;16016;66412;88437
