id;name;address;serial_number;hw_version;sw_version;manufacture_date;lon;lat;type_code;cab_num;cab_empty_num;bp_ready_num;swap_bp_no
1;Mayotte Plastic transmit;invoice;Advanced turquoise Wall;74173;94535;Awesome Car;83383;85693;39332;64542;31429;92237;89602
2;Avon;CSS cross-platform Account;architect Rubber;62363;96410;compressing;72200;7488;40061;52185;15009;14123;34627
3;Fundamental Music;Table;Somali Square;84231;6051;Representative Supervisor;43301;96751;23101;98312;26998;29671;36516
4;Switchable Dollar Macao;Chicken protocol PCI;Music Granite input;14269;58553;Coordinator XML;13802;16059;89329;28972;33624;54264;41593
5;deposit Kids;Future firmware Account;payment payment;26986;94944;bandwidth Gorgeous;11536;26038;48368;34423;9870;1688;11112
6;Cape Avon;Gorgeous;synthesize;66619;86982;International;30296;472;43219;29630;35135;59957;45786
7;Thailand whiteboard Borders;Handcrafted input motivating;Berkshire;16340;96296;Soft navigating;170;55327;61959;20701;40287;11906;9176
8;Dynamic;Dynamic;Mongolia Incredible;61134;2410;application;90063;34026;71962;93394;30559;98403;24921
9;synthesizing Cambridgeshire;Beauty blockchains;Shoes;7847;80713;Tunnel Liaison Utah;28635;82186;97360;49353;21419;86173;57416
10;Sleek plug-and-play;Borders Brazilian Steel;models Dollar;11536;70899;e-business Global;38292;37973;64674;35599;88769;73043;14770
