id;user_id;battery_id;time_start;time_end
1;34339;95656;2022-06-27T12:31:09;2022-06-27T05:05:52
2;97094;65896;2022-06-27T18:41:57;2022-06-27T08:03:00
3;37176;30752;2022-06-27T00:23:43;2022-06-27T11:44:54
4;28534;11169;2022-06-27T17:42:01;2022-06-27T01:20:32
5;24063;98280;2022-06-27T13:51:04;2022-06-27T15:03:52
6;4452;54690;2022-06-27T08:37:30;2022-06-27T15:49:55
7;76124;29000;2022-06-27T12:12:04;2022-06-27T15:14:20
8;67970;35233;2022-06-27T02:35:17;2022-06-26T20:35:30
9;76209;98154;2022-06-27T08:32:08;2022-06-27T03:50:59
10;97763;13682;2022-06-27T13:36:23;2022-06-27T16:00:56
