id;clearance;max_power;max_speed;max_load;weight_total;max_distance;wheel_base;hw_version;sw_version;serial_number;manufacture_date;lot_number;color;vehicle_type;used;user_id
1;44883;88256;69438;95383;3538;73827;26400;1963;23345;connecting Portugal transmit;collaborative;48576;green;Account Bacon;true;41087
2;51782;25777;48581;20240;99598;16091;99308;5991;65905;Architect Music;maximize Coves Lead;68411;magenta;programming generating;false;50489
3;7562;20032;83301;94937;40809;57476;33854;56882;86802;neural;visualize Kansas gold;87633;azure;Carolina Infrastructure Brand;false;98702
4;8107;15688;81234;15444;77184;30634;27598;90557;25156;Towels experiences;Rustic;37225;violet;attitude;false;20883
5;5501;27238;86355;77644;95152;26997;7764;95575;91040;Cotton needs-based;Ireland digital azure;99983;lavender;drive Cloned;false;28452
6;18007;32948;59250;46042;37437;91775;58479;58565;80905;drive;Savings Legacy International;45311;sky blue;synthesize;true;73200
7;41500;35032;74584;50061;37601;63255;85283;16907;61593;program Re-engineered Unbranded;Islands;15340;grey;Account Zambia;false;39941
8;51516;62859;90827;2910;21870;46028;66436;9105;65204;Mobility quantifying;redefine;83707;lime;frictionless Cambridgeshire;false;81655
9;37770;98924;14906;3729;75021;9360;75652;23900;27349;partnerships Jersey Tasty;Crossroad Berkshire Burkina;98130;azure;Sahara;true;28180
10;52182;70481;15829;70311;57718;15781;77837;65388;64559;lime Seamless;virtual;82485;maroon;Loan Program Renminbi;true;46010
