id;old_bat;new_bat;old_cab;new_cab;bss;user;state;error
1;Fall Somalia embrace;Bulgarian ivory;Forward;e-business navigating;bi-directional turn-key;51838;23956;7031
2;leading-edge calculating;input Cambridgeshire;Surinam redundant;Bike Towels;XSS Ergonomic;12103;55552;89172
3;withdrawal withdrawal Czech;Bedfordshire Outdoors;Handcrafted;Wooden Chips Dakota;Concrete;98449;28801;25318
4;Gorgeous upward-trending;Producer;Dakota Fantastic;Loan;Shirt;36624;79775;2424
5;Automotive Soft Frozen;Internal;Avenue;pink Avon;Frozen;76929;97922;63908
6;Money parsing;Architect Pizza Vision-oriented;Chicken Keyboard;system Bike solutions;protocol overriding;61803;46879;56349
7;Savings payment Director;Money Garden USB;architecture optical eyeballs;Cotton Electronics;Direct;78771;14532;57741
8;explicit;Checking Lebanese;Future-proofed;input;Cross-group;95775;72449;94222
9;benchmark;Handcrafted feed;e-markets methodologies;radical Object-based;Books Pants bus;85128;66402;40156
10;cross-platform;Computer indexing;Fantastic;payment Toys;indigo deposit;17244;5271;53097
