id;speed;lat;lon;error;serial_number;status;odo;power;throttle;time
1;46489;43435;81299;32529;Verde Frozen PNG;payment connect Fresh;90886;75908;85760;2022-06-27T00:36:44
2;57617;29367;73349;10273;Nepalese Cambridgeshire Borders;Practical;2592;24191;44553;2022-06-26T20:08:08
3;28043;7354;72742;87789;Forward Home;TCP;92745;98273;34464;2022-06-27T05:25:49
4;9917;75193;78934;20593;Handmade Designer;indigo Borders;93857;21889;59216;2022-06-27T03:16:47
5;33345;9595;31614;68265;Technician Tennessee Nebraska;platforms open-source;64683;13779;95808;2022-06-27T08:40:47
6;75561;76418;49985;27850;front-end Mobility neural;Gorgeous Mobility;41673;41492;7191;2022-06-27T00:22:38
7;86979;50395;96869;66910;back;Regional;66947;80385;15194;2022-06-27T10:35:04
8;15550;43799;39204;73784;panel Architect;Sausages;71871;84257;44600;2022-06-27T11:07:35
9;89314;39675;90576;48445;haptic holistic withdrawal;turn-key bus Assistant;88705;71457;45257;2022-06-27T13:49:27
10;1781;79191;98898;61290;Cross-platform cross-platform;bandwidth Director;27092;29861;7644;2022-06-27T01:42:37
